hh_id,survey_year,data_source,rural,agent_time_min,settlement
15823,2019,FinScope,0,45.5,32304
15855,2019,FinScope,0,15.0,32304
15866,2019,FinScope,0,,32304
15896,2019,FinScope,0,,32304
15919,2019,FinScope,0,,32304
15940,2019,FinScope,0,45.5,32304
15965,2019,FinScope,0,,32304
15991,2019,FinScope,0,,32304
16016,2019,FinScope,1,,32306
16041,2019,FinScope,1,15.0,32306
16067,2019,FinScope,1,,32306
16095,2019,FinScope,1,25.5,32306
16118,2019,FinScope,1,25.5,32306
16140,2019,FinScope,1,,32306
16165,2019,FinScope,1,,32306
16191,2019,FinScope,1,,32306
16218,2019,FinScope,0,25.5,32308
16242,2019,FinScope,0,,32308
16267,2019,FinScope,0,,32308
16296,2019,FinScope,0,25.5,32308
16317,2019,FinScope,0,,32308
16340,2019,FinScope,0,,32308
16365,2019,FinScope,0,,32308
16390,2019,FinScope,0,,32308
16416,2019,FinScope,0,15.0,32401
16454,2019,FinScope,0,25.5,32401
16469,2019,FinScope,0,15.0,32401
16496,2019,FinScope,0,25.5,32401
16518,2019,FinScope,0,5.0,32401
16541,2019,FinScope,0,,32401
16595,2019,FinScope,0,,32401
16598,2019,FinScope,0,,32401
16628,2019,FinScope,0,45.5,32402
16654,2019,FinScope,0,90.0,32402
16685,2019,FinScope,0,5.0,32402
16697,2019,FinScope,0,,32402
16728,2019,FinScope,0,15.0,32402
16751,2019,FinScope,0,,32402
16772,2019,FinScope,0,,32402
16797,2019,FinScope,0,,32402
16822,2019,FinScope,0,15.0,32404
16847,2019,FinScope,0,45.5,32404
16873,2019,FinScope,0,45.5,32404
16920,2019,FinScope,0,,32404
16927,2019,FinScope,0,,32404
16953,2019,FinScope,0,,32404
16977,2019,FinScope,0,,32404
17002,2019,FinScope,0,90.0,32404
17027,2019,FinScope,0,15.0,32404
17052,2019,FinScope,0,210.0,32404
17079,2019,FinScope,0,25.5,32404
17103,2019,FinScope,0,,32404
17128,2019,FinScope,0,,32404
17154,2019,FinScope,0,,32404
17185,2019,FinScope,0,90.0,32404
17207,2019,FinScope,0,,32404
17238,2019,FinScope,0,,32409
17271,2019,FinScope,0,25.5,32409
17288,2019,FinScope,0,,32409
17311,2019,FinScope,0,15.0,32409
17335,2019,FinScope,0,,32409
17359,2019,FinScope,0,,32409
17384,2019,FinScope,0,45.5,32409
17409,2019,FinScope,0,,32409
17436,2019,FinScope,0,,32411
17462,2019,FinScope,0,25.5,32411
17485,2019,FinScope,0,,32411
17511,2019,FinScope,0,,32411
17536,2019,FinScope,0,,32411
17559,2019,FinScope,0,5.0,32411
17584,2019,FinScope,0,45.5,32411
17610,2019,FinScope,0,15.0,32411
17675,2019,FinScope,1,,33101
17686,2019,FinScope,1,,33101
17715,2019,FinScope,1,,33101
17760,2019,FinScope,1,,33101
17772,2019,FinScope,1,,33101
17800,2019,FinScope,1,45.5,33101
17818,2019,FinScope,1,90.0,33101
17854,2019,FinScope,1,15.0,33101
17894,2019,FinScope,1,15.0,33105
17909,2019,FinScope,1,,33105
17940,2019,FinScope,1,,33105
17960,2019,FinScope,1,15.0,33105
17987,2019,FinScope,1,,33105
18008,2019,FinScope,1,,33105
18034,2019,FinScope,1,15.0,33105
18058,2019,FinScope,1,,33105
